Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),number_of_gears,CO2 Emissions(g/km)
VOLKSWAGEN,COMPACT,1.8,4,M,X,8.2,5,189
FORD,MID-SIZE,2.5,4,A,X,9.5,6,223
CHEVROLET,MID-SIZE,1.5,4,AV,X,7.5,0,174
AUDI,MID-SIZE,4.0,8,AM,Z,12.8,7,298
SUBARU,SUV - SMALL,3.6,6,AS,X,11.7,5,269
FORD,MID-SIZE,1.5,4,AS,X,8.5,6,196
CADILLAC,MID-SIZE,3.6,6,AS,Z,12.8,8,294
FORD,VAN - PASSENGER,5.4,8,A,X,18.3,4,421
BMW,COMPACT,2.0,4,M,Z,9.0,6,207
GMC,SUV - STANDARD,3.6,6,A,X,12.9,6,297
ACURA,COMPACT,2.4,4,AM,Z,8.3,8,191
CADILLAC,COMPACT,2.5,4,AS,X,9.1,8,214
PORSCHE,MINICOMPACT,3.8,6,M,Z,11.0,7,253
LINCOLN,FULL-SIZE,3.0,6,AS,X,12.3,6,288
BUICK,MID-SIZE,3.6,6,AS,X,9.9,9,233
JEEP,SUV - SMALL,3.6,6,A,X,13.4,5,314
CHEVROLET,SUBCOMPACT,1.4,4,AV,X,7.1,0,167
FIAT,SUV - SMALL,2.4,4,A,X,9.6,9,224
ROLLS-ROYCE,STATION WAGON - MID-SIZE,6.7,12,AS,Z,16.3,8,382
MERCEDES-BENZ,SUV - STANDARD,3.0,6,AS,Z,14.0,7,322
CADILLAC,MID-SIZE,3.6,6,AS,X,10.0,8,234
BMW,SUV - STANDARD,4.4,8,AS,Z,12.8,8,302
LINCOLN,SUV - SMALL,2.0,4,AS,X,10.7,8,250
FORD,SUV - SMALL,2.0,4,AS,X,9.9,6,233
SUBARU,COMPACT,2.0,4,AV,X,7.6,6,175
FORD,COMPACT,2.0,4,M,X,8.1,5,186
CHEVROLET,SUV - STANDARD,5.3,8,A,E,19.0,6,317
BUICK,SUV - SMALL,2.0,4,A,Z,10.7,9,249
HYUNDAI,MID-SIZE,2.0,4,AM,X,5.7,6,135
PORSCHE,SUV - STANDARD,3.6,6,A,Z,11.5,8,268
BMW,TWO-SEATER,2.0,4,A,Z,9.1,8,209
LINCOLN,SUV - STANDARD,3.5,6,AS,X,13.4,10,315
SUBARU,SUV - SMALL,2.0,4,AV,X,8.2,6,193
NISSAN,SUV - SMALL,2.5,4,AV,X,8.6,0,201
AUDI,TWO-SEATER,2.0,4,A,Z,10.3,6,237
BMW,COMPACT,3.0,6,M,Z,10.3,6,237
RAM,PICKUP TRUCK - STANDARD,3.0,6,A,D,10.2,8,275
FORD,SUBCOMPACT,5.0,8,M,X,12.7,6,292
FORD,SUBCOMPACT,3.7,6,M,X,11.2,6,264
PORSCHE,FULL-SIZE,3.0,6,AM,Z,11.5,7,264
FORD,PICKUP TRUCK - STANDARD,2.7,6,AS,X,11.7,6,275
MERCEDES-BENZ,FULL-SIZE,6.0,12,A,Z,15.1,9,355
AUDI,COMPACT,2.0,4,AM,Z,8.8,7,205
CHEVROLET,SUBCOMPACT,3.6,6,M,X,11.8,6,277
VOLKSWAGEN,STATION WAGON - SMALL,1.8,4,AS,X,8.5,6,199
MERCEDES-BENZ,SUV - SMALL,2.0,4,A,Z,10.0,9,233
BUICK,MID-SIZE,2.0,4,M,Z,9.8,6,225
FORD,SUBCOMPACT,3.7,6,AS,X,10.7,6,253
VOLVO,STATION WAGON - SMALL,2.0,4,AS,Z,10.3,8,241
BMW,SUV - SMALL,2.0,4,AS,Z,9.5,8,223
VOLKSWAGEN,COMPACT,2.0,4,M,X,9.0,5,207
BUICK,COMPACT,2.0,4,M,Z,9.8,6,225
VOLVO,SUV - STANDARD,2.0,4,AS,Z,10.6,8,249
HYUNDAI,COMPACT,1.6,4,M,X,7.6,6,175
PORSCHE,SUV - SMALL,2.0,4,A,Z,10.6,7,248
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,19.5,10,325
CHEVROLET,MID-SIZE,1.6,4,A,D,6.6,9,178
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,13.9,6,320
SUBARU,STATION WAGON - SMALL,2.0,4,AV,X,7.5,7,176
PORSCHE,TWO-SEATER,4.0,6,AM,Z,13.9,7,324
HYUNDAI,COMPACT,1.6,4,M,X,7.7,6,177
JEEP,SUV - SMALL,2.4,4,M,X,9.4,6,221
DODGE,FULL-SIZE,3.6,6,A,X,10.9,8,257
VOLKSWAGEN,SUV - STANDARD,3.6,6,AS,Z,12.6,8,296
GMC,SUV - STANDARD,3.6,6,A,X,13.4,6,315
MERCEDES-BENZ,SPECIAL PURPOSE VEHICLE,2.0,4,AS,Z,10.5,7,248
MERCEDES-BENZ,FULL-SIZE,4.7,8,AS,Z,12.5,7,288
KIA,FULL-SIZE,1.6,4,AM,X,8.0,7,190
CHEVROLET,SUBCOMPACT,2.0,4,AS,Z,9.4,8,219
HONDA,COMPACT,2.0,4,M,X,7.7,6,179
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,E,18.0,6,288
NISSAN,SUV - SMALL,3.5,6,AV,X,11.0,0,259
TOYOTA,SUV - STANDARD,5.7,8,AS,X,16.4,6,385
MAZDA,MID-SIZE,2.0,4,AS,X,7.5,6,174
FORD,PICKUP TRUCK - STANDARD,3.7,6,A,X,12.3,6,283
VOLVO,STATION WAGON - MID-SIZE,2.0,4,AS,Z,9.2,8,214
CADILLAC,FULL-SIZE,3.6,6,AS,X,11.0,8,257
BMW,SUBCOMPACT,3.0,6,M,Z,10.7,6,250
MERCEDES-BENZ,SUV - SMALL,2.0,4,AS,Z,10.0,7,233
HONDA,MID-SIZE,2.0,4,AV,X,7.0,0,163
RAM,SPECIAL PURPOSE VEHICLE,2.4,4,A,X,9.8,9,225
ROLLS-ROYCE,MID-SIZE,6.6,12,AS,Z,15.6,8,359
BMW,STATION WAGON - SMALL,2.0,4,AS,D,6.7,8,181
JEEP,SUV - STANDARD,5.7,8,A,X,14.0,8,329
ALFA ROMEO,MID-SIZE,2.0,4,A,Z,9.2,8,217
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,15.3,6,358
NISSAN,SUV - SMALL,3.5,6,AV,X,10.7,0,246
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.0,8,322
MERCEDES-BENZ,MID-SIZE,4.7,8,AS,Z,11.4,7,270
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,E,17.1,6,284
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,11.3,6,260
MERCEDES-BENZ,FULL-SIZE,6.0,12,A,Z,15.1,7,356
TOYOTA,SUV - STANDARD,3.5,6,AV,X,8.3,6,193
HONDA,MID-SIZE,2.4,4,AV,X,7.9,0,182
PORSCHE,MINICOMPACT,3.0,6,AM,Z,9.7,7,228
ACURA,MID-SIZE,3.5,6,AS,Z,10.1,6,232
VOLVO,SUV - SMALL,3.2,6,AS,X,11.2,6,258
HONDA,SUV - SMALL,3.5,6,A,X,12.0,5,276
KIA,MID-SIZE,1.8,4,M,X,7.9,6,182
MERCEDES-BENZ,FULL-SIZE,5.5,8,AS,Z,13.2,7,304
BMW,SUBCOMPACT,3.0,6,M,Z,11.9,6,280
BMW,COMPACT,2.0,4,M,Z,9.0,6,211
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.7,10,297
BMW,COMPACT,3.0,6,M,Z,11.0,6,257
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,19.6,6,326
BMW,SUBCOMPACT,4.4,8,AS,Z,12.5,8,292
TOYOTA,COMPACT,2.0,4,AS,X,8.2,7,189
AUDI,MID-SIZE,2.0,4,AM,Z,8.7,7,205
BUICK,SUV - SMALL,1.4,4,AS,X,7.8,6,182
MITSUBISHI,SUV - SMALL,2.0,4,AV,X,8.8,6,206
BMW,COMPACT,4.4,8,AS,Z,12.5,8,292
GMC,PICKUP TRUCK - SMALL,3.6,6,A,X,11.7,8,274
CHEVROLET,FULL-SIZE,3.6,6,AS,X,10.6,6,244
NISSAN,COMPACT,1.6,4,AV,X,6.8,0,156
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,13.0,10,304
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,10.2,6,235
MINI,MINICOMPACT,1.5,3,AS,Z,7.7,6,181
JAGUAR,SUV - SMALL,2.0,4,AS,Z,9.9,8,227
FORD,SUBCOMPACT,2.3,4,AS,X,10.2,6,239
CHEVROLET,TWO-SEATER,6.2,8,AS,Z,16.1,8,381
JAGUAR,FULL-SIZE,3.0,6,AS,Z,11.7,8,275
CADILLAC,MID-SIZE,3.6,6,AS,Z,12.7,8,298
CHRYSLER,MID-SIZE,3.6,6,A,X,10.2,9,235
NISSAN,STATION WAGON - SMALL,1.6,4,AV,Z,8.8,8,202
DODGE,SUV - STANDARD,5.7,8,A,X,14.4,8,331
JEEP,SUV - SMALL,2.4,4,A,X,9.5,9,223
LEXUS,SUBCOMPACT,5.0,8,AS,Z,12.6,8,289
LAMBORGHINI,TWO-SEATER,5.2,10,AM,Z,14.2,7,331
JEEP,SUV - SMALL,2.0,4,M,X,9.2,5,212
TOYOTA,MID-SIZE,3.5,6,AS,X,9.6,6,224
CHEVROLET,MID-SIZE,1.4,4,M,X,8.0,6,184
JAGUAR,SUV - SMALL,2.0,4,AS,Z,9.9,8,232
AUDI,COMPACT,2.0,4,AM,Z,8.7,7,203
LAND ROVER,SUV - STANDARD,3.0,6,AS,E,17.3,8,277
GMC,SUV - STANDARD,6.2,8,A,Z,14.0,6,322
VOLKSWAGEN,SUV - STANDARD,3.6,6,AS,X,12.2,8,287
GMC,SUV - SMALL,2.4,4,A,X,9.1,6,214
KIA,SUV - SMALL,3.3,6,AS,X,11.1,6,255
MINI,SUBCOMPACT,2.0,4,M,Z,9.2,6,214
GMC,SUV - STANDARD,6.2,8,A,Z,16.4,6,377
CHEVROLET,SUV - SMALL,1.4,4,M,X,8.1,6,190
CHEVROLET,FULL-SIZE,2.5,4,AS,X,9.2,6,212
DODGE,MID-SIZE,6.4,8,A,Z,13.8,5,317
FORD,VAN - CARGO,5.4,8,A,E,22.5,4,360
MITSUBISHI,COMPACT,2.4,4,M,X,9.2,5,217
GMC,VAN - CARGO,5.3,8,A,X,16.5,4,380
HONDA,FULL-SIZE,1.5,4,AV,X,6.9,0,162
BMW,COMPACT,3.0,6,M,Z,11.0,6,256
JEEP,SUV - SMALL,3.6,6,A,X,12.8,5,299
JEEP,SUV - SMALL,2.0,4,A,X,10.2,9,240
FORD,SUBCOMPACT,5.0,8,AS,X,12.4,6,292
INFINITI,SUV - STANDARD,2.5,4,AV,X,9.1,7,214
MITSUBISHI,COMPACT,1.2,3,M,X,6.6,5,153
VOLKSWAGEN,COMPACT,2.0,4,AM,Z,9.3,6,214
MERCEDES-BENZ,SUBCOMPACT,3.0,6,A,Z,10.6,9,248
VOLVO,COMPACT,2.0,4,AS,X,9.4,8,220
MITSUBISHI,STATION WAGON - SMALL,2.0,4,AV,X,8.6,6,198
LINCOLN,SUV - STANDARD,3.5,6,AS,X,14.4,6,339
DODGE,MID-SIZE,3.6,6,A,X,11.0,8,258
SCION,MID-SIZE,1.8,4,M,X,7.7,6,180
MAZDA,MID-SIZE,2.5,4,AS,X,7.8,6,187
INFINITI,SUV - SMALL,3.5,6,AV,Z,10.7,7,246
HYUNDAI,SUV - SMALL,2.4,4,A,X,10.3,6,237
TOYOTA,MID-SIZE,3.5,6,AS,X,9.0,8,210
MAZDA,COMPACT,2.0,4,AS,X,7.5,6,176
AUDI,SUBCOMPACT,2.0,4,AS,Z,9.8,8,225
FORD,SUBCOMPACT,2.3,4,AS,X,10.2,10,238
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS,Z,10.4,7,239
HONDA,COMPACT,1.5,4,M,X,6.8,6,158
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,12.2,8,286
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.8,6,325
AUDI,TWO-SEATER,5.2,10,AM,Z,14.1,7,330
PORSCHE,MINICOMPACT,3.0,6,AM,Z,10.8,7,251
GMC,SUV - SMALL,2.4,4,A,X,10.0,6,230
BMW,TWO-SEATER,3.0,6,AM,Z,12.1,7,282
PORSCHE,MINICOMPACT,3.0,6,AM,Z,9.8,7,230
MAZDA,MID-SIZE,2.5,4,M,X,8.1,6,188
BMW,COMPACT,3.0,6,AS,Z,9.8,8,228
FORD,VAN - PASSENGER,3.5,6,AS,X,15.0,10,352
CHEVROLET,MID-SIZE,2.0,4,A,Z,9.1,9,213
MINI,MINICOMPACT,2.0,4,M,Z,9.4,6,220
VOLKSWAGEN,COMPACT,1.8,4,M,X,8.0,5,187
FIAT,MINICOMPACT,1.4,4,A,X,8.7,6,203
ALFA ROMEO,SUV - SMALL,2.0,4,A,Z,9.6,8,226
HONDA,SUV - SMALL,3.5,6,A,X,10.7,6,246
CHRYSLER,MINIVAN,3.6,6,A,X,10.6,9,249
VOLVO,STATION WAGON - MID-SIZE,2.0,4,AS,Z,9.4,8,221
LINCOLN,SPECIAL PURPOSE VEHICLE,2.0,4,AS,X,10.1,6,232
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.2,6,286
FORD,SUBCOMPACT,2.3,4,M,X,9.7,6,226
FORD,PICKUP TRUCK - STANDARD,3.5,6,A,X,12.4,6,285
VOLVO,MID-SIZE,2.0,4,AS,Z,9.3,8,216
PORSCHE,MINICOMPACT,3.4,6,M,Z,10.6,7,244
HONDA,MID-SIZE,1.5,4,AV,X,4.9,0,115
DODGE,MID-SIZE,5.7,8,M,X,13.1,6,307
BMW,SUV - SMALL,3.0,6,A,Z,11.0,8,253
CHEVROLET,TWO-SEATER,6.2,8,AS,Z,11.7,8,275
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.0,8,304
HYUNDAI,FULL-SIZE,5.0,8,AS,Z,13.3,8,306
BENTLEY,SUBCOMPACT,6.0,12,AM,Z,16.0,8,373
INFINITI,COMPACT,3.5,6,AS,Z,8.5,7,200
HYUNDAI,FULL-SIZE,2.0,4,M,X,8.7,6,205
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.1,8,330
SUBARU,COMPACT,2.5,4,M,Z,12.7,6,297
MERCEDES-BENZ,SUV - SMALL,3.0,6,A,Z,14.6,9,353
FIAT,SUV - SMALL,2.4,4,A,X,9.4,9,220
FORD,SUV - STANDARD,3.5,6,AS,X,12.6,6,296
AUDI,SUV - SMALL,3.0,6,AS,Z,11.4,8,267
HYUNDAI,COMPACT,1.6,4,M,X,7.0,6,168
HYUNDAI,FULL-SIZE,2.4,4,AS,X,8.1,6,190
VOLKSWAGEN,COMPACT,2.0,4,AM,D,6.5,6,175
MERCEDES-BENZ,MID-SIZE,3.0,6,A,Z,9.9,9,232
VOLVO,STATION WAGON - SMALL,2.0,4,AS,X,9.7,8,226
LEXUS,SUV - STANDARD,5.7,8,AS,Z,16.6,6,382
NISSAN,STATION WAGON - SMALL,1.6,4,M,Z,8.4,6,197
FORD,SUV - STANDARD,3.5,6,AS,X,12.0,6,280
SMART,TWO-SEATER,0.9,3,AM,Z,6.7,6,152
CHEVROLET,SUV - STANDARD,3.6,6,A,X,13.7,6,323
GMC,VAN - PASSENGER,6.0,8,A,X,18.9,6,435
AUDI,STATION WAGON - SMALL,2.0,4,AM,Z,8.8,7,206
BUICK,COMPACT,2.4,4,AS,X,9.4,6,216
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,17.9,7,401
HYUNDAI,SUV - SMALL,2.0,4,AS,X,8.6,6,202
SUBARU,MINICOMPACT,2.0,4,M,Z,9.6,6,221
HONDA,MID-SIZE,1.5,4,M,Z,7.8,6,183
TOYOTA,PICKUP TRUCK - STANDARD,5.7,8,AS,X,16.6,6,382
BMW,SUBCOMPACT,3.0,6,AS,Z,9.7,8,227
SRT,TWO-SEATER,8.4,10,M,Z,16.9,6,389
VOLKSWAGEN,COMPACT,2.0,4,M,Z,8.3,6,191
FORD,SUV - SMALL,2.0,4,AS,X,10.2,6,239
MERCEDES-BENZ,SUBCOMPACT,3.0,6,A,Z,11.6,9,271
GMC,SUV - STANDARD,3.6,6,A,X,12.3,6,283
GMC,PICKUP TRUCK - SMALL,2.8,4,A,D,9.6,6,257
PORSCHE,MINICOMPACT,3.4,6,AM,Z,10.2,7,240
TOYOTA,SUV - SMALL,2.5,4,AS,X,9.0,6,210
LEXUS,MID-SIZE,3.5,6,AS,Z,10.2,8,237
JAGUAR,MID-SIZE,2.0,4,AS,Z,9.2,8,217
LEXUS,SUV - STANDARD,3.5,6,AV,Z,8.0,6,186
TOYOTA,SUV - SMALL,2.5,4,AS,X,9.4,6,216
FORD,SUBCOMPACT,2.3,4,M,X,9.8,6,230
TOYOTA,MID-SIZE,2.5,4,AV,X,5.1,6,121
KIA,SUV - SMALL,2.4,4,A,X,10.0,6,230
FORD,SUV - SMALL,1.6,4,AS,X,9.0,6,207
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,10.5,6,242
GMC,SUV - SMALL,2.4,4,A,X,10.1,6,237
TOYOTA,MINIVAN,3.5,6,AS,X,10.9,8,256
AUDI,COMPACT,3.0,6,M,Z,12.4,6,285
MERCEDES-BENZ,MID-SIZE,3.5,6,AS,Z,10.2,7,240
BMW,SUBCOMPACT,2.0,4,AS,Z,8.6,8,202
MERCEDES-BENZ,MID-SIZE,3.5,6,AS,Z,10.2,7,235
JAGUAR,COMPACT,3.0,6,AS,Z,10.2,8,238
NISSAN,MID-SIZE,1.8,4,M,X,7.8,6,179
NISSAN,PICKUP TRUCK - SMALL,4.0,6,M,X,13.3,6,306
CHEVROLET,SUV - STANDARD,5.3,8,A,X,14.3,6,336
SCION,MID-SIZE,1.8,4,AV,X,7.4,7,173
CHEVROLET,SUV - STANDARD,5.3,8,A,E,19.3,6,321
TOYOTA,SUV - STANDARD,5.7,8,AS,X,16.7,6,384
NISSAN,COMPACT,1.6,4,M,X,7.7,5,177
AUDI,SUV - SMALL,2.0,4,AS,Z,8.9,8,209
BMW,FULL-SIZE,3.0,6,A,Z,9.2,8,212
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.9,8,327
HONDA,STATION WAGON - SMALL,1.5,4,M,X,7.4,6,174
MERCEDES-BENZ,SPECIAL PURPOSE VEHICLE,2.0,4,AS,Z,10.9,7,248
TOYOTA,SUV - STANDARD,3.5,6,AV,X,8.5,6,198
PORSCHE,TWO-SEATER,3.4,6,M,Z,10.7,6,246
CHEVROLET,COMPACT,1.4,4,M,X,7.4,6,174
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.0,6,329
NISSAN,PICKUP TRUCK - SMALL,2.5,4,A,X,12.3,5,283
FORD,SPECIAL PURPOSE VEHICLE,2.0,4,AS,E,12.5,8,208
TOYOTA,MID-SIZE,3.5,6,AS,X,9.7,6,226
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.1,6,284
CADILLAC,COMPACT,3.6,6,AS,X,9.9,8,233
BMW,SUBCOMPACT,3.0,6,AS,Z,10.5,8,248
BUICK,SUV - SMALL,1.3,3,A,X,8.5,9,199
TOYOTA,MID-SIZE,1.8,4,AV,X,7.2,0,168
CHEVROLET,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.0,8,322
MINI,SUBCOMPACT,1.5,3,AS,Z,7.9,6,184
MERCEDES-BENZ,TWO-SEATER,2.0,4,A,Z,8.8,9,205
BUICK,SUV - SMALL,1.4,4,AS,X,9.1,6,214
FORD,SUV - STANDARD,3.5,6,AS,X,11.5,6,264
FORD,COMPACT,2.0,4,AM,X,7.7,6,177
MERCEDES-BENZ,FULL-SIZE,4.0,8,A,Z,11.3,9,265
SUBARU,STATION WAGON - SMALL,2.0,4,M,X,8.4,5,193
FORD,SUV - SMALL,1.5,3,A,X,7.9,8,185
LEXUS,MID-SIZE,3.5,6,AS,Z,11.0,6,253
BMW,COMPACT,3.0,6,A,Z,9.9,8,228
MINI,COMPACT,1.6,4,M,Z,7.5,6,172
AUDI,SUBCOMPACT,2.9,6,AM,Z,11.1,8,260
MERCEDES-BENZ,SUV - SMALL,3.0,6,A,Z,11.3,9,265
BENTLEY,MID-SIZE,6.8,8,AS,Z,18.3,8,430
SUBARU,COMPACT,2.0,4,AV,Z,11.5,8,263
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,13.0,10,304
CHEVROLET,VAN - CARGO,4.3,6,A,X,15.1,4,347
JEEP,SUV - STANDARD,6.2,8,A,Z,17.7,8,413
MERCEDES-BENZ,MID-SIZE,3.0,6,A,Z,10.8,9,253
PORSCHE,MINICOMPACT,3.8,6,M,Z,10.9,7,255
AUDI,SUBCOMPACT,2.0,4,AM,X,9.2,7,213
CHEVROLET,MID-SIZE,1.5,4,A,X,7.8,6,181
MITSUBISHI,SUV - SMALL,1.5,4,AV,X,8.9,8,208
LINCOLN,SUV - STANDARD,5.4,8,A,X,16.0,6,368
DODGE,FULL-SIZE,6.4,8,A,Z,12.9,8,302
AUDI,MID-SIZE,3.0,6,AS,Z,11.2,8,262
MERCEDES-BENZ,MID-SIZE,4.7,8,AS,Z,11.6,7,267
MERCEDES-BENZ,STATION WAGON - MID-SIZE,3.0,6,A,Z,11.0,9,259
VOLVO,COMPACT,2.0,4,AS,Z,9.4,8,218
CHEVROLET,SUV - SMALL,3.6,6,A,X,12.0,6,276
ACURA,SUV - SMALL,3.5,6,AS,Z,10.7,9,251
HONDA,MINIVAN,3.5,6,A,X,10.6,6,244
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,19.7,6,315
GMC,SUV - SMALL,1.6,4,A,D,7.4,6,198
NISSAN,SUV - STANDARD,5.6,8,A,X,16.6,5,382
FORD,SUBCOMPACT,1.6,4,M,X,7.6,5,175
KIA,COMPACT,2.0,4,M,X,8.8,6,209
ALFA ROMEO,SUV - SMALL,2.9,6,A,Z,12.3,8,288
CHEVROLET,PICKUP TRUCK - SMALL,2.5,4,A,X,10.5,6,242
INFINITI,STATION WAGON - SMALL,3.7,6,AS,Z,11.8,7,271
NISSAN,MID-SIZE,3.5,6,AV,X,9.3,0,214
RAM,PICKUP TRUCK - STANDARD,5.7,8,A,X,16.3,6,382
AUDI,MID-SIZE,4.0,8,AS,Z,13.3,8,313
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.1,10,307
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,11.7,10,274
NISSAN,MINIVAN,3.5,6,AV,X,10.5,0,242
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,E,17.2,6,275
HYUNDAI,MID-SIZE,1.8,4,M,X,7.7,6,180
HYUNDAI,SUV - STANDARD,3.8,6,AS,X,11.1,8,265
JEEP,SUV - SMALL,2.4,4,A,E,13.7,9,219
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,X,13.8,6,323
AUDI,MID-SIZE,3.0,6,AM,Z,9.7,7,226
MERCEDES-BENZ,SUBCOMPACT,4.7,8,AS,Z,11.4,7,262
MERCEDES-BENZ,TWO-SEATER,4.0,8,AM,Z,12.8,7,302
MERCEDES-BENZ,TWO-SEATER,4.0,8,AM,Z,12.8,7,303
FORD,SUV - SMALL,2.0,4,AS,X,10.4,6,244
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,17.5,10,291
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,11.8,6,278
INFINITI,MID-SIZE,3.0,6,AS,Z,10.3,7,242
GMC,PICKUP TRUCK - SMALL,2.8,4,A,D,10.4,6,280
DODGE,FULL-SIZE,6.4,8,A,Z,13.8,5,317
VOLVO,SUV - SMALL,2.0,4,AS,Z,10.6,8,247
MAZDA,SUV - SMALL,2.0,4,AS,X,8.5,6,199
INFINITI,SUV - SMALL,3.5,6,AV,Z,10.7,7,252
AUDI,SUBCOMPACT,3.0,6,AM,Z,10.2,8,239
BMW,SUV - SMALL,3.0,6,AS,Z,11.4,8,266
CHEVROLET,SUV - STANDARD,3.6,6,AS,X,11.0,9,258
KIA,MID-SIZE,2.0,4,M,X,8.3,6,195
HYUNDAI,SUV - SMALL,2.0,4,AS,X,10.4,6,239
